epoch,dataset,loss_type,total_loss,ade,fde,min_ade,min_fde,num_traj,min_fde_epoch
15,NuScene,GMM_NLL,398.5245262837372,0.6768726426822297,1.103121041957295,0.665819914079053,1.1084402797714445,5671,14
16,NuScene,GMM_NLL,390.12343220187677,0.6889829886188753,1.1655034995377536,0.665819914079053,1.1084402797714445,5671,14
17,NuScene,GMM_NLL,391.6098997179768,0.6830399519466803,1.1191640720021008,0.665819914079053,1.1084402797714445,5671,14
18,NuScene,GMM_NLL,383.84938871689934,0.6539076574053467,1.0673779497868043,0.6539076574053467,1.0673779497868043,5671,18
19,NuScene,GMM_NLL,364.28417478722116,0.6870816090690923,1.1141311833518373,0.6539076574053467,1.0673779497868043,5671,18
20,NuScene,GMM_NLL,355.717165778665,0.6329185177758139,1.005781862181218,0.6329185177758139,1.005781862181218,5671,20
21,NuScene,GMM_NLL,352.54517181347967,0.61770416840614,1.0033412025921182,0.61770416840614,1.0033412025921182,5671,21
22,NuScene,GMM_NLL,344.58060497775176,0.6178901739966363,0.9925198565923522,0.6178901739966363,0.9925198565923522,5671,22
23,NuScene,GMM_NLL,336.4785200401027,0.630651556316706,1.0260877244330824,0.6178901739966363,0.9925198565923522,5671,22
24,NuScene,GMM_NLL,329.50630112785984,0.648909956411255,0.9796886785470542,0.6178901739966363,0.9925198565923522,5671,22
25,NuScene,GMM_NLL,328.36585279261556,0.645405905226975,1.0472491112488578,0.6178901739966363,0.9925198565923522,5671,22
26,NuScene,GMM_NLL,325.08108176032766,0.6526564320776328,1.0217949391840795,0.6178901739966363,0.9925198565923522,5671,22
27,NuScene,GMM_NLL,325.2636356323436,0.6332980714931498,1.0417625139344413,0.6178901739966363,0.9925198565923522,5671,22
28,NuScene,GMM_NLL,335.51332638108295,0.63307192358805,0.987476933761325,0.6178901739966363,0.9925198565923522,5671,22
29,NuScene,GMM_NLL,327.0556339330628,0.7091379937535345,1.1698949609015528,0.6178901739966363,0.9925198565923522,5671,22
30,NuScene,GMM_NLL,377.25444380088527,0.6534437414746797,1.0590245777117346,0.6178901739966363,0.9925198565923522,5671,22
31,NuScene,GMM_NLL,324.2852245385393,0.6987310116767379,1.0558158909490427,0.6178901739966363,0.9925198565923522,5671,22
32,NuScene,GMM_NLL,327.12632094051196,0.6348843239031021,1.0373599579296,0.6178901739966363,0.9925198565923522,5671,22
33,NuScene,GMM_NLL,322.99611427294997,0.6290998974714177,0.9896669349139002,0.6178901739966363,0.9925198565923522,5671,22
34,NuScene,GMM_NLL,307.1508889493957,0.6510646143112626,1.0230782809364294,0.6178901739966363,0.9925198565923522,5671,22
35,NuScene,GMM_NLL,305.561728788294,0.6521184675236519,1.0124229576784853,0.6178901739966363,0.9925198565923522,5671,22
36,NuScene,GMM_NLL,303.4165875506136,0.5955409776636835,0.9509074749759088,0.5955409776636835,0.9509074749759088,5671,36
37,NuScene,GMM_NLL,304.85325496412804,0.6388964496619948,0.9877376199882721,0.5955409776636835,0.9509074749759088,5671,36
38,NuScene,GMM_NLL,295.49113250877974,0.6257730636031639,0.9466928869848464,0.5955409776636835,0.9509074749759088,5671,36
39,NuScene,GMM_NLL,297.33754371194277,0.6629059107462116,0.9332021302257008,0.5955409776636835,0.9509074749759088,5671,36
40,NuScene,GMM_NLL,293.2769116764038,0.620742878235326,0.9575101688958795,0.5955409776636835,0.9509074749759088,5671,36
41,NuScene,GMM_NLL,292.5310339025549,0.6287724367631762,0.9920968706699049,0.5955409776636835,0.9509074749759088,5671,36
42,NuScene,GMM_NLL,299.64988361595164,0.6113358413368027,0.9355010433899958,0.5955409776636835,0.9509074749759088,5671,36
43,NuScene,GMM_NLL,291.69657053742765,0.687011530445148,1.141669060645375,0.5955409776636835,0.9509074749759088,5671,36
44,NuScene,GMM_NLL,290.3832405708932,0.6532093362399582,1.0006893267603783,0.5955409776636835,0.9509074749759088,5671,36
45,NuScene,GMM_NLL,292.30125631020064,0.605510105092024,0.9528227365325944,0.5955409776636835,0.9509074749759088,5671,36
46,NuScene,GMM_NLL,280.1162108889824,0.6221446968264269,0.9830841354709141,0.5955409776636835,0.9509074749759088,5671,36
47,NuScene,GMM_NLL,274.57289942269864,0.5930887999052809,0.9238488672061732,0.5930887999052809,0.9238488672061732,5671,47
48,NuScene,GMM_NLL,291.32031780054916,0.6580349662026029,0.9855918838031454,0.5930887999052809,0.9238488672061732,5671,47
